,rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl
0,5,"Without a doubt the best 2022 movie, Never seen a movie so amazing and real and the fact that theres almost to no little cgi for a movie like this one is incredible.
Great cast and good character, faithful to the original.",Francisco Jose S,FALSE,FALSE,FALSE,FALSE,5,20m ago,Francisco Jose S,/user/id/Google_104552984062153435893,RT,Google_104552984062153435893,
1,5,so much better than the first one.,Carol,TRUE,FALSE,FALSE,FALSE,5,35m ago,Carol,,Fandango,C950C2F8-959A-4D81-BF68-9BD28533C4E9,
2,5,Hands down the best movie of 2022,ruben ,FALSE,FALSE,FALSE,FALSE,5,50m ago,ruben ,/user/id/Google_105208587126559003207,RT,Google_105208587126559003207,
3,5,The Best Movie of 2022.,Ahmed R,FALSE,FALSE,FALSE,FALSE,5,1h ago,Ahmed R,/user/id/Google_105057991775732297204,RT,Google_105057991775732297204,
4,5,"Such an amazing movie, amazing story, amazing characters, amazing experience. If the theatre's would release a double top gun screening with a short intermission between It would turn into a whole family affair!",Colin M,FALSE,FALSE,FALSE,FALSE,5,1h ago,Colin M,/user/id/Google_107611028930498126183,RT,Google_107611028930498126183,
5,5,This was a delight to watch. Saw it four times in the theater. It pays homage to the original while giving us a new cast to cheer and care for. This one flies high!,Rodney N,FALSE,FALSE,FALSE,FALSE,5,2h ago,Rodney N,/user/id/Google_117595860950713068699,RT,Google_117595860950713068699,
6,3.5,It's a good film despite all exposition scenes that made me crazy,Deinis d,FALSE,FALSE,FALSE,FALSE,3.5,2h ago,Deinis d,/user/id/Google_108295769811905007271,RT,Google_108295769811905007271,
7,5,"Love it so much, this is how you do a sequel the right way. 10/10",Max M,FALSE,FALSE,FALSE,FALSE,5,3h ago,Max M,/user/id/Google_115226420209132840104,RT,Google_115226420209132840104,
8,5,"Great Entertainment! Saw it twice at the Theater. A we'll round product, everything falls into place and you will enjoy every minute of it - action, plot, romance, photography, satisfying ending. A must see.",Pink P,FALSE,FALSE,FALSE,FALSE,5,3h ago,Pink P,/user/id/3185978d-7050-4863-a6fa-1d6120f823d1,RT,3185978d-7050-4863-a6fa-1d6120f823d1,
9,5,Awesome!! Reminds me of when films were well-made and entertaining.,Tian B,FALSE,FALSE,FALSE,FALSE,5,3h ago,Tian B,/user/id/Google_110441291890884788104,RT,Google_110441291890884788104,
10,5,Awesome! A thrill ride of a movie. Loved this movie so much.,Sam B,FALSE,FALSE,FALSE,FALSE,5,3h ago,Sam B,/user/id/868aba12-2af9-4dc6-812f-ac950e048ffc,RT,868aba12-2af9-4dc6-812f-ac950e048ffc,
11,5,"Fantastic story, great acting, incredible sound when seen in the theatre",Steven O,FALSE,FALSE,FALSE,FALSE,5,6h ago,Steven O,/user/id/Google_101257794928868128942,RT,Google_101257794928868128942,
12,5,"Awesome.

JESUS loves you.",Kleber M,FALSE,FALSE,FALSE,FALSE,5,9h ago,Kleber M,/user/id/cc4a79df-cfbd-4442-9b31-bf2db9fb2d51,RT,cc4a79df-cfbd-4442-9b31-bf2db9fb2d51,
